,id,name,beginYear,endYear,description,countries
72,061d92d4-677e-46b6-8543-2031df46779f,1951 Event 2,1951,1951,July 28: Release date of Disney's Alice in Wonderland.,[]
73,06255c95-b0f3-4621-a7e6-54f74bbb6162,2000 Event 10,2000,2000,July 2: Vicente Fox is elected the first opposition President of Mexico.,[]
74,06366992-e7fb-4c16-9ebe-8eca0cc22298,1972 Event 1,1972,1972,January: Sheikh Mujibur Rahman returns to Bangladesh from imprisonment in Pakistan.,[]
75,0648f168-712a-468f-8b2a-2b3f15eb8769,1989 Event 15,1989,1989,July 31: Release date of the Game Boy handheld console in North America.,[]
76,064bf197-b037-4336-a972-e65b99ff8759,1525 Event 1,1525,1525,"1525: German and Spanish forces defeat France at the Battle of Pavia, Francis I of France is captured.",[]
77,06558f4e-dafb-4967-84bf-8bb4b4aa8344,2012 Event 20,2012,2012,The Higgs boson is discovered.,[]
78,06590520-64bd-4fa4-b150-f44f342dfe64,1931 Event 10,1931,1931,Statute of Westminster creates the British Commonwealth of Nations.,[]
79,06680a04-4fc5-42a2-9e16-3bb274c33bbc,2020 Event 21,2020,2020,"July 15: The Twitter accounts of prominent political figures, CEOs, and celebrities are hacked to promote a bitcoin scam.",[]
80,067cb599-1523-4c76-92e0-39054e1d9c8a,1483 Event 1,1483,1483,"28 June – Edward, Richard of York's son, is crowned as Edward IV, King of England (reigns until 1483).",[]
81,067fdac3-57f0-4f1f-a018-1d442c6a34f1,1985 Event 14,1985,1985,First use of DNA fingerprinting.,[]
82,06815ff4-75b3-470c-9d50-843adf86a9e0,1988 Event 5,1988,1988,August 20: End of the Iran–Iraq War.,[]
83,06a6b787-78dc-4e0b-bea1-5e6e9862e926,1587 Event 1,1587,1587,1587: Troops that would invade Pajang Mataram Sultanate storm ravaged the eruption of Mount Merapi. Sutawijaya and his men survived.,[]
84,06b8fce8-ebe4-4caf-9ef5-9156c00eb1da,1957 Event 9,1957,1957,First prescription of the combined oral contraceptive pill.,[]
85,06cedaab-ba71-4b68-8445-be298f618e87,1613 Event 1,1613,1613,1598–1613: Russia descends into anarchy during the Time of Troubles.,[]
86,06edf108-66c6-4833-adc0-6e06c9c02c00,1991 Event 13,1991,1991,July 1,[]
87,0711cda8-f0ed-4036-8405-15335dc3fbe1,1992 Event 16,1992,1992,"October 4: El Al Flight 1862, in which a Boeing 747 cargo aircraft of the then state-owned Israeli airline El Al crashes into the Groeneveen and Klein-Kruitberg flats in the Bijlmermeer neighbourhood of Amsterdam, resulting in 43 deaths.",[]
88,073a2067-51e4-4a62-b13d-95c5dea78b81,1944 Event 4,1944,1944,June 6: D-Day landings in Normandy.,[]
89,0762eb9b-4307-4c0a-990f-900434b27f9f,1462 Event 1,1462,1462,"1462: Sonni Ali Ber, the ruler of the Songhai (or Songhay) Empire, along the Niger River, conquers Mali in the central Sudan by defeating the Tuareg contingent at Tombouctou (or Timbuktu) and capturing the city. He develops both his own capital, Gao, and the main centres of Mali, Timbuktu and Djenné, into major cities. Ali Ber controls trade along the Niger River with a navy of war vessels.",[]
90,0769f334-1bdc-47f7-97cd-70a9d4be52f1,1827 Event 1,1827,1827,"Allies destroy Turkish fleet at the Battle of Navarino. With the Treaty of London, Britain, France and Russia guarantee the independence of Greece.",[]
91,079c991c-b38e-45f4-919f-8ef6169d63ce,1892 Event 1,1892,1892,Basketball is invented.,[]
